rating,review_text,date,location,supplier_response,verified,company,domain,language,review_text_en,review_text_clean_en,review_text_clean_light,review_length,sentiment,has_negation
5.0,"Alles top. Wenn man sich einmal registriert hat, läuft das mit der Einreichung zur Auszahlung jedes Jahr von ganz alleine, wenn man es aktiviert hat. Man bekommt sogar einen Vorschlag eines bestimmten... See more",2025-08-29 20:26:37+00:00,,,0,thg-experten,de,de,"Everything is great. Once you have registered, the submission for payment runs automatically every year if you have activated it. You even get a suggestion from a certain... See more",everything great registered submission payment run automatically every year activated even get suggestion certain see,"everything is great. once you have registered, the submission for payment runs automatically every year if you have activated it. you even get a suggestion from a certain... see more",34,0.2023,False
5.0,Thg- Experten made a great Job. However the politicians changed the rules. As a consequence the amount paid dropped by two third which makes it obsolete to benefit from the CO2 certificates anymore. T... See more,2024-06-27 20:24:20+00:00,,,0,thg-experten,de,en,Thg- Experten made a great Job. However the politicians changed the rules. As a consequence the amount paid dropped by two third which makes it obsolete to benefit from the CO2 certificates anymore. T... See more,thg experten made great job however politician changed rule consequence amount paid dropped two third make obsolete benefit co certificate anymore see,thg- experten made a great job. however the politicians changed the rules. as a consequence the amount paid dropped by two third which makes it obsolete to benefit from the co2 certificates anymore. t... see more,36,0.7096,False
4.0,Thg did what they promised to do and paid out the expected THG bonus. Only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,2025-10-26 16:31:30+00:00,,,0,thg-experten,de,en,Thg did what they promised to do and paid out the expected THG bonus. Only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,thg promised paid expected thg bonus star tried multiple time convience accept earlier lower offer,thg did what they promised to do and paid out the expected thg bonus. only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,32,0.25,False
4.0,"Process to place the order was very easy. Information during the period of processing was helpful to get an idea, what‘s happening in the background.
The THG premium for 2024 will be applied to soon... See more",2024-04-29 15:50:33+00:00,,,0,thg-experten,de,en,"Process to place the order was very easy. Information during the period of processing was helpful to get an idea, what‘s happening in the background.
The THG premium for 2024 will be applied to soon... See more",process place order wa easy information period processing wa helpful get idea happening background thg premium applied soon see,"process to place the order was very easy. information during the period of processing was helpful to get an idea, what‘s happening in the background.
the thg premium for 2024 will be applied to soon... see more",37,0.7178,False
5.0,"All well done, efficient, fast and transparent process",2026-03-07 16:49:20+00:00,DE,,0,thg-experten,de,en,"All well done, efficient, fast and transparent process",well done efficient fast transparent process,"all well done, efficient, fast and transparent process",8,0.5994,False
5.0,"Everything is ok, good price",2026-01-07 19:05:38+00:00,DE,,0,thg-experten,de,en,"Everything is ok, good price",everything ok good price,"everything is ok, good price",5,0.4404,False
4.0,Easy and reliable process regarding the THG Quotes. Payment was performed in time.,2026-01-07 13:54:17+00:00,DE,,0,thg-experten,de,en,Easy and reliable process regarding the THG Quotes. Payment was performed in time.,easy reliable process regarding thg quote payment wa performed time,easy and reliable process regarding the thg quotes. payment was performed in time.,13,0.4404,False
5.0,"The process is easy - just create account, upload documents - and then wait for the money that is automatically transferred to your bank account.",2025-12-31 14:28:21+00:00,DE,,0,thg-experten,de,en,"The process is easy - just create account, upload documents - and then wait for the money that is automatically transferred to your bank account.",process easy create account upload document wait money automatically transferred bank account,"the process is easy - just create account, upload documents - and then wait for the money that is automatically transferred to your bank account.",25,0.6124,False
4.0,Thg did what they promised to do and paid out the expected THG bonus. Only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,2025-10-26 16:31:30+00:00,DE,,0,thg-experten,de,en,Thg did what they promised to do and paid out the expected THG bonus. Only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,thg promised paid expected thg bonus star tried multiple time convience accept earlier lower offer,thg did what they promised to do and paid out the expected thg bonus. only 4 stars because they tried multiple times to convience me to accept an earlier but lower offer.,32,0.25,False
5.0,"Application processing was professional, successful, and timely.",2025-10-24 10:31:35+00:00,DE,,0,thg-experten,de,en,"Application processing was professional, successful, and timely.",application processing wa professional successful timely,"application processing was professional, successful, and timely.",7,0.5859,False
