review_text,rating_svg,date,location,supplier_response,company,rating
i purchased 2 expensive sensors from autodoc. first one they put a cheaper unit in the packaging of the more expensive one hoping I wouldn't notice. second one was marked at as correct fitting part... See more,stars-4.svg,2025-10-02 11:07:42+00:00,,,autodoc,4
"Edit:
After my review, one member reached out and assured me to fix the issue asap. Today Dec 23, I got confirmation that refund has been processed. I wish it was not that big of a mess to start w... See more",stars-4.svg,2025-12-23 17:29:18+00:00,,,autodoc,4
"I had, back in Romania, a good experience with Autodoc, mainly because you have supplied me parts that one hardly can find !
Since I moved to Germany, I had one teriblle experience, making an order... See more",stars-5.svg,2025-09-01 10:24:10+00:00,,,autodoc,5
"Poor delivery!

The products were not delivered or were left at the closest location, which is approximately 45 45-minute walk from the given address. In that case, to buy the product, I will cho... See more",stars-5.svg,2025-11-24 17:39:59+00:00,,,autodoc,5
"Made a few purchases. It's important to check if the parts fit, best would be to write an email to their support before making a purchase. Also ticking ""safe order"" at the bottom is a good idea (the... See more",stars-5.svg,2025-08-29 08:03:21+00:00,,,autodoc,5
"I ordered an exterior mirror through the app. The right product was easy to find, and coincidentally, it was even discounted, and the entire process was quick and easy. Unfortunately, the package coul... See more",stars-5.svg,2025-03-25 13:37:45+00:00,,,autodoc,5
Door handle for my old sharan was really cheap but did not fit according to their website. Small letter at the top clearly showed that it would not fit. It was hard to see when I ordered but still my... See more,stars-5.svg,2025-10-12 06:25:03+00:00,,,autodoc,5
"I've been using this service for a long time. I'm mostly satisfied with everything, there's a wide selection.",stars-4.svg,2025-10-13 17:06:06+00:00,,,autodoc,4
"I have been buying from them for a year now, what i care the most is aftersale service, and these guys nails it, you can reach out to them and they will offer few solutions to make you happy, their c... See more",stars-5.svg,2025-10-21 09:52:33+00:00,,,autodoc,5
"""I am giving 3 stars because there is no option to choose the shipping method. I can't select whether the package is sent via DHL or UPS. Additionally, there is no option to pay more for faster deli... See more",stars-3.svg,2025-04-01 09:53:59+00:00,,,autodoc,3
"what made my experience great this time. I have been using this market for a long time, the spare parts are great, I am satisfied. This time I ordered the spare parts in advance, but the next day I... See more",stars-5.svg,2025-06-15 00:52:22+00:00,,,autodoc,5
"My experience has always been great with AUTODOC. They have the most user-friendly parts catalogue out there as well as a great customer service in many languages.
As a service they do great, but som... See more",stars-5.svg,2025-10-28 18:16:16+00:00,,,autodoc,5
"Autodoc is great option to buy parts online, if you subscribe to the autodoc plus package you will be able to apply your VIN for every part so a expert could match the part that is supposed to be for... See more",stars-5.svg,2026-03-07 11:56:12+00:00,,,autodoc,5
"Ordering three wipers (2 x Front + Rear) for a Renault Space Tourer. None of those could be attached despite providing correct VIN, Company, Model and other required parameters. Support later admitted... See more",stars-5.svg,2025-09-30 19:48:01+00:00,,,autodoc,5
"I’m satisfied with everything products, time and service, but one thing i don’t like was the shipping cost specially if you only need small parts :(",stars-5.svg,2025-11-17 13:45:46+00:00,,,autodoc,5
"Order ok, item ok. 
Four stars because of delivery. I wasn't home and they have left package 35min away from my home.",stars-4.svg,2025-07-04 11:27:50+00:00,,,autodoc,4
11 euros shipping for a 96 cent lightbulb. Completely out of proportion. My husband didn't pay attention. No way of stopping the order within seconds of noticing. Only order bigger products from Auto... See more,stars-3.svg,2025-05-29 15:59:26+00:00,,,autodoc,3
"How are you going to send me the wrong part but charge me to send it back to you? 

This review has been edited due to the excellent customer support I received, return shipping was paid for in the... See more",stars-3.svg,2025-04-23 15:10:11+00:00,,,autodoc,3
"I'm buying spare parts for my cars from them for 6 years and they are doing a great job. Recently we made a mistake on a purchase, but we repaired that and all is good 👍😊",stars-5.svg,2025-10-31 19:35:44+00:00,,,autodoc,5
"Support is working good, you just need to ask about compatibility of spare with your car using your VIN code. Best prices!)))) Thank you!))))",stars-5.svg,2025-07-07 12:12:13+00:00,,,autodoc,5
"Nešto duže smo čekali na pošiljku, ali  na kraju sve je utredno dostavljeno i u potpunosti!
Moje preporuke svima.",stars-5.svg,2026-01-12 14:56:32+00:00,,,autodoc,5
It's take little bit long time for delivery but was perfect fit I'm setisfied thanks autodoc 👍👍👍,stars-5.svg,2025-03-18 20:31:11+00:00,,,autodoc,5
"Had problem with fuel sensor part received broken.
Gave me full refund great customer service .",stars-5.svg,2025-04-10 14:33:53+00:00,,,autodoc,5
"I received  the shipment in very good condition, wrapped with protection, arrived  on time, you have my full trust, i honestly recommend to use Autodoc to order spare parts its trustable site.",stars-5.svg,2025-09-26 12:11:06+00:00,,,autodoc,5
"Good Quality of products, as well as easy to use Internetseite. Quick delivery! I appreciate the Help of Service Bot!",stars-5.svg,2025-07-06 15:26:47+00:00,,,autodoc,5
"Autodoc truly value the customer I had an exceptional experience with Autodoc! Despite encountering a unique situation with my purchase, the team went above and beyond to assist me. A special shout-ou... See more",stars-5.svg,2025-04-14 22:32:10+00:00,,,autodoc,5
"Received the wrong item.
I am coming to update my review. They are following my case closely.",stars-5.svg,2025-09-29 16:47:41+00:00,,,autodoc,5
"It was a quite unexpected experience to have that nice and personal contact in the middle of the festive season.
Gloria got the delivery things done immediately.",stars-5.svg,2025-12-27 17:34:03+00:00,,,autodoc,5
"Great prices, very fast amd secure delivery, everything is perfect",stars-5.svg,2025-09-05 10:29:41+00:00,,,autodoc,5
"Best car parts with very good pricing and customer service, thanks !!!!",stars-5.svg,2025-08-15 11:39:43+00:00,,,autodoc,5
"The item is very good , price is good and material as well good. I will try my best for buying in the future.",stars-5.svg,2025-06-06 13:58:46+00:00,,,autodoc,5
I am totally satisfied by rates and quality and also order updation,stars-5.svg,2026-01-23 13:50:50+00:00,,,autodoc,5
"Simple to order, delivery was fast, and parts were correct...",stars-5.svg,2025-12-01 12:24:50+00:00,,,autodoc,5
"As always, speed of service, easy ordering, great products.👍",stars-5.svg,2025-03-20 16:23:51+00:00,,,autodoc,5
The quality of the parts are very good easy to assemble and they fit perfectly.,stars-5.svg,2025-08-20 19:55:28+00:00,,,autodoc,5
"Perfect products, Perfect company. Everything perfect. Thank you",stars-5.svg,2025-05-25 09:41:27+00:00,,,autodoc,5
The parts and the delivery it's perfect,stars-5.svg,2026-03-06 13:59:05+00:00,,,autodoc,5
"Very good Markt, quick delivery, good quality of goods. Thanks.",stars-5.svg,2025-06-29 17:08:28+00:00,,,autodoc,5
"The quality of auto parts is not the best. What annoys me the most is that the pictures are not the same as the part I get. On the last order of a fuel pressure sensor, your thread was 1.5mm longer a... See more",stars-3.svg,2025-07-12 13:48:42+00:00,,,autodoc,3
Delivery was really fast in 2 days. And the variety of parts are also good.,stars-5.svg,2025-09-28 17:33:06+00:00,,,autodoc,5
Items bought were original.delivery is fast.,stars-5.svg,2025-05-29 16:11:20+00:00,,,autodoc,5
"Purchased 4 Bridgestone tyres which said they were in stock, chased after 3 days of them still being sat in order being transferred between warehouses, they told me that there was a delay and on the... See more",stars-3.svg,2026-01-16 16:36:17+00:00,,,autodoc,3
Very good Platform to order what u need for your car👍🏻.,stars-5.svg,2025-03-22 13:19:20+00:00,,,autodoc,5
"Good service, fast delivery of quality parts.",stars-5.svg,2025-03-24 12:26:38+00:00,,,autodoc,5
"The speed of delivery is really good
Buying is easy
But 
Its better to have all parts of vehicle",stars-4.svg,2025-12-05 15:07:48+00:00,,,autodoc,4
"fast, cheap perfect delivery and items",stars-5.svg,2025-04-05 11:17:49+00:00,,,autodoc,5
Very quick and professional service thank you.,stars-5.svg,2025-12-06 14:41:40+00:00,,,autodoc,5
It came very fast and all items were in good condition,stars-5.svg,2025-06-26 15:41:15+00:00,,,autodoc,5
Fast delivery and very good packaged,stars-5.svg,2025-03-31 13:06:30+00:00,,,autodoc,5
"So far, I was ok with the services provided. I oredered brakes, oils, filters, windshield wipers and tires. Sometimes, especially with oils, the delivery was not very sustainbable and comfortab... See more",stars-3.svg,2025-11-20 09:40:35+00:00,,,autodoc,3
This is a very good product. I like this and very fast service.,stars-5.svg,2026-03-17 21:32:24+00:00,DE,"Hello!⭐ We want to thank you for your time and positive feedback! Best regards, AUTODOC Team🚙",autodoc,5
"I really like that they have every part available, very well packaged and awesome tracking service! Could have a faster delivery time but that's just something I can work with.",stars-5.svg,2026-03-17 18:42:13+00:00,DE,"Hello!😊 We are very pleased to receive positive feedback from our customers! Good luck on any road. Best regards, AUTODOC Team🛠️",autodoc,5
Super no words,stars-5.svg,2026-03-16 22:08:14+00:00,DE,"Hello Slave Andonov!😊 We are very pleased to receive positive feedback from our customers! Good luck on any road. Best regards, AUTODOC Team🛠️",autodoc,5
I had always gotten what I ordered for so far.,stars-5.svg,2026-03-14 13:42:11+00:00,DE,"Hello! Thank you for taking the time to leave a review of our company⭐. We are looking forward to seeing you in our online store. Best regards, AUTODOC Team",autodoc,5
Reply from AUTODOC - Deutschland,stars-5.svg,2026-03-14 08:06:54+00:00,DE,"Hello Mykola !😊 We are very pleased to receive positive feedback from our customers! Good luck on any road. Best regards, AUTODOC Team🛠️",autodoc,5
Reply from AUTODOC - Deutschland,stars-5.svg,2026-03-07 20:39:08+00:00,DE,"Hello J P! Thank you very much for your feedback and wonderful rating. We will continue to work only for 5 stars! Best regards, AUTODOC Team🧡",autodoc,5
Reply from AUTODOC - Deutschland,stars-5.svg,2026-03-07 15:04:28+00:00,DE,"Hello Reza 😊! Thank you for your positive feedback! Best regards, AUTODOC Team",autodoc,5
